,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,label
12751, Ka+,2018,10500,Manual,2936,Petrol,150,43.5,1.2,0.19092644785889626
12752, EcoSport,2017,11000,Manual,21504,Petrol,150,52.3,1.0,0.20001818347122466
12753, Kuga,2017,17500,Semi-Auto,18221,Diesel,150,54.3,2.0,0.3182107464314938
12754, Focus,2018,11700,Manual,21568,Petrol,150,60.1,1.0,0.2127466133284844
12755, Fiesta,2016,11000,Manual,14979,Petrol,0,65.7,1.0,0.20001818347122466
12756, Fiesta,2019,14200,Manual,9209,Petrol,150,62.8,1.0,0.2582052913901264
12757, Fiesta,2018,11500,Manual,23918,Petrol,145,65.7,1.0,0.20910991908355306
12758, Focus,2016,11300,Semi-Auto,18503,Petrol,160,44.8,1.6,0.20547322483862168
12759, Fiesta,2018,11000,Manual,14212,Petrol,145,65.7,1.0,0.20001818347122466
12760, Focus,2017,12500,Semi-Auto,12118,Petrol,125,51.4,1.0,0.22729339030820983
12761, Fiesta,2017,12000,Semi-Auto,6255,Petrol,145,47.9,1.6,0.21820165469588143
12762, Fiesta,2018,13000,Automatic,31190,Petrol,145,54.3,1.0,0.23638512592053823
12763, Fiesta,2017,12500,Manual,18458,Petrol,20,62.8,1.0,0.22729339030820983
12764, Focus,2019,15400,Manual,14132,Petrol,145,58.9,1.0,0.2800254568597145
12765, Fiesta,2018,11200,Manual,31336,Petrol,145,65.7,1.0,0.203654877716156
12766, Kuga,2017,17800,Manual,19696,Diesel,150,60.1,2.0,0.3236657877988908
12767, Fiesta,2019,15299,Manual,7580,Petrol,145,58.9,1.0,0.2781889262660242
12768, Kuga,2015,11499,Manual,63612,Diesel,145,54.3,2.0,0.20909173561232838
12769, Focus,2018,18499,Manual,30687,Petrol,145,41.5,2.0,0.3363760341849259
12770, Fiesta,2018,10999,Manual,39341,Diesel,145,88.3,1.5,0.2
12771, Fiesta,2019,14999,Manual,6509,Petrol,145,60.1,1.0,0.27273388489862715
12772, Fiesta,2017,11299,Manual,27727,Petrol,145,47.9,1.6,0.20545504136739703
12773, Focus,2019,15999,Manual,6890,Petrol,145,49.6,1.0,0.29091735612328395
